depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,peakID_1,peakID_2,peakID_3,peakID_4
24.884815,0.021285942,68.66139,78391.77171,64975.37935,6151.513272,245.0656423,1.646283885,1000,0.531420062,0.021285942,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
25.329187,0.016220142,68.77054,78391.57451,64974.98113,5451.188359,285.6161054,3.010801342,1000,0.483669068,0.016220142,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
25.773559000000002,0.019380479,68.87974,78391.37732,64974.58291,6701.796081,223.0711099,2.098486278,1000,0.448000887,0.019380479,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
26.21793,0.028637325,68.98889,78391.18013,64974.18469,6101.488763,249.6716905,1.993360968,1000,0.486553596,0.028637325,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
26.662302,0.0,69.09804,78390.98294,64973.78646,5701.299896,263.3102494,2.148357013,1000,0.51368231,0.0,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
27.106674,0.021477908,69.20718,78390.78574,64973.38824,6101.488763,248.0953339,2.325592447,1000,0.570975167,0.021477908,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
27.551045,0.019070088,69.31637,78390.58855,64972.99002,6801.850103,219.3865364,0.884940492,1000,0.379099626,0.019070088,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
27.995417000000003,0.033671143,69.42552,78390.39136,64972.5918,6451.664529,222.2224993,1.562490891,1000,0.457661463,0.033671143,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
28.439789,0.014064861,69.53467,78390.19417,64972.19357,6201.537981,240.9133594,1.305357344,1000,0.512078396,0.014064861,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
28.884159999999998,0.016732951,69.64381,78389.99697,64971.79535,5301.123838,282.9325252,1.941231779,1000,0.644039405,0.016732951,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
29.328532,0.031475902,69.75295,78389.79978,64971.39713,5601.254681,267.4912222,2.190946035,1000,0.572988257,0.031475902,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
29.772904,0.03858022,69.86196,78389.60259,64970.99891,5701.299896,265.7556221,2.506421528,1000,0.486923153,0.03858022,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
30.217276000000002,0.020375371,69.97112,78389.40539,64970.60068,6401.63882,234.4626082,2.206211575,1000,0.470998906,0.020375371,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
30.661647,0.034252275,70.08027,78389.2082,64970.20246,6351.61331,238.0543948,2.861047273,1000,0.460808727,0.034252275,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
31.106019,0.020912121,70.18941,78389.01101,64969.80424,6251.562891,245.9195563,1.293895065,1000,0.483406461,0.020912121,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
31.550390999999998,0.034186717,70.29857,78388.81382,64969.40601,5201.081825,293.5377753,4.362713298,1000,0.533414867,0.034186717,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
31.994762,0.020912121,70.40776,78388.61662,64969.00779,6251.562891,236.8958495,0.646944945,1000,0.454396619,0.020912121,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
32.439134,0.042572394,70.5169,78388.41943,64968.60957,6151.513272,248.7527133,4.280406589,1000,0.506812212,0.042572394,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
32.883506,0.021872416,70.62604,78388.22224,64968.21135,6001.440346,252.33135,3.044981094,1000,0.480319695,0.021872416,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
33.327877,0.011684108,70.73519,78388.02505,64967.81312,7352.161535,208.3680433,1.355502737,1000,0.433503662,0.011684108,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
33.772248999999995,0.0132436,70.84418,78387.82785,64967.4149,6551.71655,230.227999,2.765584206,1000,0.394911434,0.0132436,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
34.216621,0.040405533,70.95333,78387.63066,64967.01668,6451.664529,233.8375848,1.874992819,1000,0.467003362,0.040405533,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
34.660993,0.031475902,71.06248,78387.43347,64966.61846,5601.254681,273.6571495,2.190946035,1000,0.512949629,0.031475902,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
35.105364,0.0,71.1717,78387.23628,64966.22023,5701.299896,265.008349,2.148357013,1000,0.454812871,0.0,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
35.549735999999996,0.027640231,71.28086,78387.03908,64965.82201,6301.588,239.3962984,2.244619972,1000,0.493577545,0.027640231,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
35.994108,0.017862389,71.39005,78386.84189,64965.42379,5001.0002,309.3416337,0.828899325,1000,0.613170481,0.017862389,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
36.438479,0.0184782,71.4992,78386.6447,64965.02557,7001.960549,204.2303274,2.000789044,1000,0.367333324,0.0184782,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
36.882851,0.041102894,71.60835,78386.44751,64964.62734,6351.61331,229.5523256,2.861047273,1000,0.437051328,0.041102894,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
37.327223,0.036122568,71.71742,78386.25031,64964.22912,6051.464454,242.8493702,0.670495144,1000,0.531070089,0.036122568,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
37.771594,0.013468296,71.82661,78386.05312,64963.8309,6451.664529,239.474008,1.562490891,1000,0.434307045,0.013468296,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
38.215965999999995,0.014448854,71.93584,78385.85593,64963.43267,6051.464454,244.3749742,3.687789674,1000,0.460915849,0.014448854,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
38.660338,0.00779165,72.04499,78385.65873,64963.03445,5651.277189,271.2457921,3.615766538,1000,0.556555381,0.00779165,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
39.104710000000004,0.034550427,72.15414,78385.46154,64962.63623,6301.588,236.9626076,2.244619972,1000,0.512749708,0.034550427,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
39.549081,0.00779165,72.26322,78385.26435,64962.23801,5651.277189,267.4721415,3.977351146,1000,0.470085131,0.00779165,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
39.993452999999995,0.012512937,72.37236,78385.06716,64961.83978,6901.904926,212.7888658,1.451657306,1000,0.399160441,0.012512937,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
40.437825,0.015137645,72.48148,78384.86996,64961.44156,5801.345912,262.7543047,2.80986703,1000,0.435641271,0.015137645,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
40.882196,0.028637325,72.59051,78384.67277,64961.04334,6101.488763,248.5997331,3.322294858,1000,0.491519411,0.028637325,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
41.326568,0.016911168,72.69961,78384.47558,64960.64512,5251.102732,280.3671765,3.139070364,1000,0.480816309,0.016911168,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
41.770939999999996,0.031791012,72.80871,78384.27839,64960.24689,5551.232374,268.7003321,2.950518423,1000,0.490522243,0.031791012,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
42.215311,0.007032402,72.91796,78384.08119,64959.84867,6201.537981,234.4776307,3.263432522,1000,0.458422001,0.007032402,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
42.659682999999994,0.035327645,73.02709,78383.884,64959.45045,5051.020306,294.3187919,2.459054664,1000,0.630853348,0.035327645,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
43.104055,0.012815969,73.13624,78383.68681,64959.05223,6751.822992,211.0085785,1.784179021,1000,0.479942857,0.012815969,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
43.548427000000004,0.023375138,73.24539,78383.48962,64958.654,5651.277189,257.1204244,2.53102139,1000,0.437660214,0.023375138,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
43.992798,0.054542862,73.35459,78383.29242,64958.25578,5651.277189,265.4144977,1.446289259,1000,0.480893609,0.054542862,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
44.437169999999995,0.016056119,73.46373,78383.09523,64957.85756,5501.210266,281.0303744,3.352906241,1000,0.512187317,0.016056119,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
44.881542,0.012612343,73.57289,78382.89804,64957.45934,6851.877414,220.9206013,2.048473755,1000,0.454820424,0.012612343,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
45.325913,0.031475902,73.68204,78382.70085,64957.06111,5601.254681,261.3989588,1.825784711,1000,0.491118055,0.031475902,0.0,,,,,,,,,,,,,,,interval 7,interval 7,interval 7,interval 7
