depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peak
84.483751,0.028260966,82.52465,83264.52361,60216.4959,8853.134009,206.3858181,1.742333342,0.20936932,0.028260966,0.0,interval 0
84.926074,0.015612737,82.63378,83264.93906,60216.64773,8052.592935,228.9594285,1.443836506,0.250796989,0.015612737,0.0,interval 0
85.368397,0.005608718,82.74285,83265.35451,60216.79955,7502.250675,244.6045311,1.29671692,0.307582367,0.005608718,0.0,interval 0
85.810721,0.010617292,82.85196,83265.76997,60216.95137,7902.497189,230.1860096,2.945648691,0.260241047,0.010617292,0.0,interval 0
86.253044,0.023977597,82.961,83266.18542,60217.10319,8703.028654,209.2778641,1.330431132,0.229105587,0.023977597,0.0,interval 0
86.69536699999999,0.013644466,83.07015,83266.60087,60217.25502,9153.350126,196.1033925,1.05150998,0.236188994,0.013644466,0.0,interval 0
87.13769,0.020940841,83.17929,83267.01632,60217.40684,9903.921953,181.1360777,1.161932442,0.222714033,0.020940841,0.0,interval 0
87.58001399999999,0.004883969,83.28845,83267.43177,60217.55866,8552.9251,213.8977999,1.354991725,0.263777938,0.004883969,0.0,interval 0
88.02233700000001,0.029855548,83.3976,83267.84722,60217.71049,8402.823349,216.819654,1.38047587,0.252197149,0.029855548,0.0,interval 0
88.46466,0.011437014,83.50675,83268.26267,60217.86231,8703.028654,207.7926033,0.88695054,0.231098272,0.076731685,0.0,interval 0
88.906984,0.0,83.61589,83268.67812,60218.01413,9003.241167,209.1645052,2.139828461,0.224936419,0.0,0.0,interval 0
89.349307,0.0,83.72504,83269.09357,60218.16596,8953.205247,205.9570678,0.86094108,0.23979569,0.0,0.0,interval 0
89.79163,0.009309674,83.83426,83269.50903,60218.31778,8953.205247,200.7039965,1.721895936,0.220452918,0.009309674,0.0,interval 0
