depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peak
39.513947,1.485218426,71.93683,8661.355899,41144.6628,18764.07305,132.7036929,1.822246096,1000,0.102009102,1.485218426,0.029973513,interval 0
39.952991,1.262390816,72.04597,8661.7542,41144.4781,16711.16306,155.2979964,2.055348985,1000,0.12628538,1.262390816,0.022537774,interval 0
40.392035,1.043489948,72.15511,8662.152501,41144.2934,21568.59213,121.2524029,1.490132526,1000,0.080783483,1.043489948,0.015138379,interval 0
40.831079,1.147666013,72.26425,8662.550802,41144.10869,25375.73099,103.88322,2.892023974,1000,0.075629033,1.147666013,0.011891459,interval 0
41.270122,1.30769226,72.37346,8662.949103,41143.92399,22870.90401,118.1150077,2.640547961,1000,0.077060327,1.30769226,0.021885573,interval 0
41.709165999999996,1.397555481,72.48261,8663.347404,41143.73928,27680.61476,99.8251978,1.560002072,1000,0.084182423,1.397555481,0.015060762,interval 0
42.14821,1.300785157,72.59176,8663.745706,41143.55458,30336.76816,90.45596154,1.235091818,1000,0.059190115,1.300785157,0.020188758,interval 0
42.587254,1.301551389,72.70091,8664.144007,41143.36987,32442.04489,86.69273862,1.38393587,1000,0.053142899,1.301551389,0.015294156,interval 0
43.026298,1.250891553,72.81006,8664.542308,41143.18517,36804.10203,76.34532404,1.369023126,1000,0.053583574,1.250891553,0.016263271,interval 0
43.465342,1.274056488,72.91925,8664.940609,41143.00046,40365.06849,69.88755557,1.569352242,1000,0.045373932,1.274056488,0.019075714,interval 0
43.904385999999995,1.452000899,73.02839,8665.33891,41142.81576,40615.87896,71.29080334,0.871459385,1000,0.050726242,1.452000899,0.011882249,interval 0
44.34342899999999,1.42477819,73.13755,8665.737211,41142.63106,39361.87687,74.45281899,1.278538854,1000,0.045968188,1.792223035,0.016064714,interval 0
44.782473,1.426191621,73.2467,8666.135512,41142.44635,41769.67181,69.91877184,1.515728111,1000,0.046562959,1.908889103,0.020074048,interval 0
45.221517000000006,1.484044365,73.35589,8666.533813,41142.26165,45281.86962,64.95869126,1.848239854,1000,0.04491682,1.484044365,0.015200082,interval 0
45.660561,1.318385929,73.46505,8666.932114,41142.07694,47439.85108,61.85819747,1.488712996,1000,0.035622576,1.318385929,0.013773825,interval 0
46.099605000000004,1.609226623,73.57419,8667.330416,41141.89224,53815.5959,55.90627252,0.930868336,1000,0.034739301,1.609226623,0.012972381,interval 0
46.538649,1.516524378,73.68333,8667.728717,41141.70753,53815.5959,59.52496285,1.585984102,1000,0.038552845,1.516524378,0.023820572,interval 0
46.977693,1.4680226319999998,73.79247,8668.127018,41141.52283,51656.51574,60.7433806,1.725017266,1000,0.037535156,2.687126598,0.012634868,interval 0
47.416736,1.400382343,73.90149,8668.525319,41141.33812,57532.09369,54.99375316,1.353427711,1000,0.032073003,1.400382343,0.016299347,interval 0
47.85578,1.40538524,74.01064,8668.92362,41141.15342,59340.51835,54.1811984,1.155547382,1000,0.032619824,1.40538524,0.012136263,interval 0
48.294824,1.577330045,74.11978,8669.321921,41140.96872,60043.8651,53.30902073,1.327042806,1000,0.034888462,1.577330045,0.012373278,interval 0
48.733868,1.35147075,74.22891,8669.720222,41140.78401,71705.07652,46.74996492,1.10921563,1000,0.027259525,1.35147075,0.009069229,interval 0
49.172912,1.4964988165,74.33803,8670.118523,41140.59931,139719.1513,24.03926095,0.619405042,1000,0.010525454,0.694527461,0.004795955,interval 0
49.611956,1.322251184,74.44725,8670.516824,41140.4146,78546.00609,47.94575844,1.105915327,1000,0.026889448,1.322251184,0.009143538,interval 0
50.050999999999995,1.12848133,74.55639,8670.915126,41140.2299,89620.12308,39.54271009,0.700412232,1000,0.022529292,1.12848133,0.008132361,interval 0
50.490043,1.641093719,74.66553,8671.313427,41140.04519,69894.86689,49.14971813,1.244109019,1000,0.032201485,1.641093719,0.008816501,interval 0
50.929086999999996,1.476473255,74.77469,8671.711728,41139.86049,78797.582,44.33867165,1.031985286,1000,0.027667644,1.476473255,0.008969412,interval 0
51.368131,1.578831712,74.88374,8672.110029,41139.67578,77338.51197,46.36091272,1.290654109,1000,0.022613187,1.578831712,0.009140092,interval 0
51.807174999999994,1.790033197,74.99289,8672.50833,41139.49108,91382.81622,39.59739657,1.252475959,1000,0.02085024,1.790033197,0.006105178,interval 0
52.246219,1.473534858,75.10203,8672.906631,41139.30638,87958.38209,45.60503733,1.427587373,1000,0.021410157,1.473534858,0.008934692,interval 0
52.685263000000006,1.43444433,75.21119,8673.304932,41139.12167,86901.02515,43.03961292,1.211299517,1000,0.021411506,1.43444433,0.009175333,interval 0
53.124306000000004,1.558187614,75.32026,8673.703233,41138.93697,91282.08422,45.21106487,0.970709493,1000,0.024353002,1.558187614,0.010478387,interval 0
53.56335,1.53118237,75.42937,8674.101534,41138.75226,97125.87714,41.23151517,0.930903125,1000,0.02404515,1.53118237,0.009140375,interval 0
54.002394,1.444829977,75.53836,8674.499836,41138.56756,98335.27762,38.31230652,1.313450151,1000,0.023747418,1.444829977,0.007522469,interval 0
54.441438000000005,1.525510337,75.64751,8674.898137,41138.38285,109628.6386,38.47053737,1.177322405,1000,0.016945586,1.525510337,0.008714142,interval 0
54.880482,1.594534796,75.75666,8675.296438,41138.19815,107359.0674,39.27105329,1.13364995,1000,0.019205831,1.594534796,0.00879354,interval 0
55.319526,1.480051837,75.86584,8675.694739,41138.01344,111949.0689,39.69966654,1.235127396,1000,0.017401771,1.480051837,0.007211759,interval 0
55.75857,1.408365937,75.97499,8676.09304,41137.82874,119771.0685,37.63478708,0.877019738,1000,0.019851826,1.408365937,0.007307662,interval 0
56.197613,1.57150998,76.08414,8676.491341,41137.64404,116540.7491,37.63476533,0.774934077,1000,0.020016483,1.57150998,0.008682189,interval 0
56.636657,1.513246827,76.19329,8676.889642,41137.45933,125224.117,35.3619437,1.132925423,1000,0.017536166,1.513246827,0.006352408,interval 0
57.075701,1.6546063,76.30244,8677.287943,41137.27463,122194.3533,39.33836701,1.432662809,1000,0.015193502,1.6546063,0.007720117,interval 0
57.514745,1.600539704,76.41163,8677.686244,41137.08992,125628.1407,36.58531085,1.173266859,1000,0.015857378,1.600539704,0.008141301,interval 0
57.953789,1.552060702,76.52078,8678.084546,41136.90522,129214.4206,36.62861334,1.112017696,1000,0.015239795,1.865856686,0.006770843,interval 0
58.392832999999996,1.532611424,76.62994,8678.482847,41136.72051,134621.0302,33.83147056,0.94398809,1000,0.014288453,1.532611424,0.006750762,interval 0
58.831877,1.529156419,76.73907,8678.881148,41136.53581,143974.3974,31.64993694,1.457972802,1000,0.013041594,1.529156419,0.006862403,interval 0
59.27092,1.730998761,76.84809,8679.279449,41136.3511,122497.2968,40.22282948,1.203416916,1000,0.016819459,1.730998761,0.006308999,interval 0
59.709964,1.506139502,76.95726,8679.67775,41136.1664,135025.3562,35.45449195,1.336779684,1000,0.01592171,1.506139502,0.006814592,interval 0
60.149007999999995,1.422974786,77.06639,8680.076051,41135.9817,151462.1048,34.26058877,1.203230199,1000,0.012692736,1.422974786,0.005696957,interval 0
60.588052000000005,1.634850328,77.17553,8680.474352,41135.79699,142002.0275,33.8522564,1.296734406,1000,0.013064242,1.634850328,0.007918104,interval 0
61.027096,1.6039233865,77.28469,8680.872653,41135.61229,130982.6817,36.65636758,1.13912556,1000,0.015897137,2.584902181,0.006331962,interval 0
61.46614,1.623840173,77.39368,8681.270954,41135.42758,141142.3733,34.60030529,0.965405351,1000,0.013785477,1.623840173,0.006195939,interval 0
61.905184000000006,1.563163174,77.5029,8681.669256,41135.24288,137805.4495,35.41448972,1.24284819,1000,0.013956678,1.563163174,0.004862879,interval 0
62.344227000000004,1.804538869,77.61204,8682.067557,41135.05817,140990.6757,33.9067148,1.14932286,1000,0.015886897,1.804538869,0.005558118,interval 0
62.783271,1.5840066,77.72118,8682.465858,41134.87347,139928.8439,36.07485597,1.460834598,1000,0.012611855,1.5840066,0.007954789,interval 0
63.222315,1.417203069,77.83032,8682.864159,41134.68876,159865.7872,31.05606724,1.070629939,1000,0.012447144,1.417203069,0.006106391,interval 0
63.661359,1.738522819,77.93944,8683.26246,41134.50406,154600.1727,34.79618815,0.976265358,1000,0.011409855,1.738522819,0.003818274,interval 0
64.100403,1.47410692,78.04858,8683.660761,41134.31936,161790.3117,30.46113009,0.853067844,1000,0.013137164,1.47410692,0.005191454,interval 0
64.539447,1.294657355,78.15774,8684.059062,41134.13465,156270.7539,30.84577843,0.977564144,1000,0.014905849,1.294657355,0.005012333,interval 0
64.978491,1.695593358,78.26696,8684.457363,41133.94995,149893.3645,32.35491794,1.068473895,1000,0.01448634,1.695593358,0.00409021,interval 0
65.417534,1.691776215,78.37608,8684.855664,41133.76524,147515.3249,36.51372492,1.048329264,1000,0.015027669,1.691776215,0.007158879,interval 0
