depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peakID_1,peakID_2,peakID_3,peakID_4
26.746726,0.019998772,68.77152,30965.55759,80688.05762,6451.664529,200.0681875,1.527563504,1000,0.301833338,0.019998772,0.0,interval 7,interval 7,interval 7,interval 7
27.192504999999997,0.024270905,68.8807,30965.92117,80687.79969,5401.166652,250.1122162,2.966227892,1000,0.399619101,0.024270905,0.0,interval 7,interval 7,interval 7,interval 7
27.638283,0.016017608,68.98987,30966.28475,80687.54176,5451.188359,235.3100125,0.734081028,1000,0.340641133,0.016017608,0.0,interval 7,interval 7,interval 7,interval 7
28.084062,0.037762937,69.09899,30966.64833,80687.28384,5751.322804,227.5274295,2.076785341,1000,0.341961668,0.037762937,0.0,interval 7,interval 7,interval 7,interval 7
28.529841,0.008616085,69.20815,30967.01192,80687.02591,5101.040612,254.436726,1.579500465,1000,0.350707212,0.008616085,0.0,interval 7,interval 7,interval 7,interval 7
28.97562,0.03964529,69.31734,30967.3755,80686.76798,5501.210266,228.5903429,1.816917985,1000,0.293722654,0.03964529,0.0,interval 7,interval 7,interval 7,interval 7
29.421398,0.013559782,69.42647,30967.73908,80686.51006,6351.61331,198.9059075,1.553608704,1000,0.232549172,0.013559782,0.0,interval 7,interval 7,interval 7,interval 7
29.867177,0.029926049,69.53561,30968.10266,80686.25213,5801.345912,219.946719,1.371494198,1000,0.304522168,0.029926049,0.0,interval 7,interval 7,interval 7,interval 7
30.312956,0.015249806,69.64476,30968.46625,80685.9942,5701.299896,219.8243698,1.747242889,1000,0.313848972,0.015249806,0.0,interval 7,interval 7,interval 7,interval 7
30.758734999999998,0.024270905,69.75391,30968.82983,80685.73628,5401.166652,236.1448804,1.112324336,1000,0.355208451,0.024270905,0.0,interval 7,interval 7,interval 7,interval 7
31.204514,0.014420306,69.86309,30969.19341,80685.47835,6001.440346,220.3741542,1.321759808,1000,0.349549035,0.014420306,0.0,interval 7,interval 7,interval 7,interval 7
31.650291999999997,0.01779478,69.97225,30969.557,80685.22042,5251.102732,245.6971942,2.677138843,1000,0.31676563,0.066760962,0.0,interval 7,interval 7,interval 7,interval 7
32.096070999999995,0.020339754,70.0814,30969.92058,80684.96249,6351.61331,201.8753708,2.485788841,1000,0.381417263,0.020339754,0.0,interval 7,interval 7,interval 7,interval 7
32.54185,0.014823463,70.19053,30970.28416,80684.70457,5851.36922,217.2478882,2.717447867,1000,0.301684286,0.014823463,0.0,interval 7,interval 7,interval 7,interval 7
32.987629,0.030210229,70.29966,30970.64774,80684.44664,5751.322804,222.366095,3.115196703,1000,0.317778111,0.030210229,0.0,interval 7,interval 7,interval 7,interval 7
33.433406999999995,0.007850666,70.40887,30971.01133,80684.18871,5551.232374,233.8280694,2.518586977,1000,0.3375075,0.007850666,0.0,interval 7,interval 7,interval 7,interval 7
33.879186,0.032035473,70.51802,30971.37491,80683.93079,5451.188359,236.292066,3.303410875,1000,0.366285917,0.032035473,0.0,interval 7,interval 7,interval 7,interval 7
34.324965,0.013445161,70.62717,30971.73849,80683.67286,6401.63882,192.6925722,0.924281933,1000,0.276708423,0.013445161,0.0,interval 7,interval 7,interval 7,interval 7
34.770744,0.027328682,70.73633,30972.10208,80683.41493,4850.941083,270.1243135,2.087443061,1000,0.383291441,0.027328682,0.0,interval 7,interval 7,interval 7,interval 7
35.216522,0.029647164,70.84538,30972.46566,80683.15701,5851.36922,224.001294,1.358713064,1000,0.328807236,0.029647164,0.0,interval 7,interval 7,interval 7,interval 7
35.662301,0.015249806,70.95453,30972.82924,80682.89908,5701.299896,221.1594042,1.747242889,1000,0.345240084,0.015249806,0.0,interval 7,interval 7,interval 7,interval 7
36.10808,0.031096095,71.06368,30973.19282,80682.64115,5601.254681,240.4698687,1.068835451,1000,0.31998437,0.031096095,0.0,interval 7,interval 7,interval 7,interval 7
36.553859,0.014552233,71.17276,30973.55641,80682.38323,5951.416437,219.8388907,1.333852226,1000,0.33277616,0.014552233,0.0,interval 7,interval 7,interval 7,interval 7
36.999637,0.032693896,71.2819,30973.91999,80682.1253,5351.145145,245.5884145,1.872932637,1000,0.347642313,0.032693896,0.0,interval 7,interval 7,interval 7,interval 7
37.445416,0.016017608,71.39101,30974.28357,80681.86737,5451.188359,244.7142443,2.202260703,1000,0.402922569,0.016017608,0.0,interval 7,interval 7,interval 7,interval 7
37.891195,0.021057824,71.50006,30974.64716,80681.60945,6151.513272,209.3098293,1.930152186,1000,0.333871893,0.021057824,0.0,interval 7,interval 7,interval 7,interval 7
38.336974000000005,0.021630545,71.60921,30975.01074,80681.35152,6001.440346,216.0765736,3.634890361,1000,0.230817646,0.021630545,0.0,interval 7,interval 7,interval 7,interval 7
38.782753,0.031716105,71.71832,30975.37432,80681.09359,5501.210266,237.8265823,1.090146431,1000,0.297349454,0.031716105,0.0,interval 7,interval 7,interval 7,interval 7
39.228531,0.048705836,71.82752,30975.7379,80680.83567,6201.537981,205.6499833,1.594385074,1000,0.283209148,0.048705836,0.0,interval 7,interval 7,interval 7,interval 7
39.67431,0.017232238,71.93667,30976.10149,80680.57774,5101.040612,250.1358111,2.764142399,1000,0.370413569,0.017232238,0.0,interval 7,interval 7,interval 7,interval 7
40.120089,0.030795091,72.04582,30976.46507,80680.31981,5651.277189,223.9742544,3.175506088,1000,0.30984381,0.030795091,0.0,interval 7,interval 7,interval 7,interval 7
40.565867999999995,0.031716105,72.15497,30976.82865,80680.06188,5501.210266,229.9786147,1.453531481,1000,0.355380234,0.031716105,0.0,interval 7,interval 7,interval 7,interval 7
41.011646,0.028581726,72.26411,30977.19223,80679.80396,6051.464454,209.2528652,1.964834801,1000,0.294111059,0.028581726,0.0,interval 7,interval 7,interval 7,interval 7
41.457425,0.044889432,72.3733,30977.55582,80679.54603,5801.345912,215.1648016,0.685744356,1000,0.297677782,0.044889432,0.0,interval 7,interval 7,interval 7,interval 7
41.903204,0.016346817,72.48245,30977.9194,80679.2881,5351.145145,241.5781305,3.371305717,1000,0.351381106,0.016346817,0.0,interval 7,interval 7,interval 7,interval 7
42.348983,0.007552467,72.59159,30978.28298,80679.03018,5751.322804,228.7851724,1.384518023,1000,0.359236053,0.007552467,0.0,interval 7,interval 7,interval 7,interval 7
42.794761,0.039253958,72.70074,30978.64657,80678.77225,5551.232374,235.4102404,2.518586977,1000,0.38419406,0.039253958,0.0,interval 7,interval 7,interval 7,interval 7
43.24054,0.040867533,72.80975,30979.01015,80678.51432,5351.145145,236.710948,1.872932637,1000,0.37755307,0.040867533,0.0,interval 7,interval 7,interval 7,interval 7
43.686319000000005,0.019832531,72.91889,30979.37373,80678.2564,6501.69044,195.4511582,1.514865579,1000,0.284204104,0.019832531,0.0,interval 7,interval 7,interval 7,interval 7
44.132098,0.030795091,73.02805,30979.73731,80677.99847,5651.277189,228.3569815,1.411321926,1000,0.306322244,0.030795091,0.0,interval 7,interval 7,interval 7,interval 7
44.577876,0.013676373,73.13719,30980.1009,80677.74054,6301.588,199.7777848,1.253571207,1000,0.322131598,0.013676373,0.0,interval 7,interval 7,interval 7,interval 7
45.023655000000005,0.026225479,73.24635,30980.46448,80677.48262,6551.71655,194.8736903,1.802855967,1000,0.257868808,0.026225479,0.0,interval 7,interval 7,interval 7,interval 7
45.469434,0.020873596,73.35555,30980.82806,80677.22469,6201.537981,209.8565731,2.869916093,1000,0.340499662,0.020873596,0.0,interval 7,interval 7,interval 7,interval 7
45.915213,0.015857926,73.46468,30981.19165,80676.96676,5501.210266,232.755834,1.816917985,1000,0.348126183,0.015857926,0.0,interval 7,interval 7,interval 7,interval 7
46.360991999999996,0.014823463,73.57382,30981.55523,80676.70884,5851.36922,212.0568356,0.679353814,1000,0.298293978,0.014823463,0.0,interval 7,interval 7,interval 7,interval 7
46.80677,0.015547923,73.68296,30981.91881,80676.45091,5601.254681,228.5461809,0.712555542,1000,0.305760396,0.015547923,0.0,interval 7,interval 7,interval 7,interval 7
47.252548999999995,0.028840842,73.79208,30982.28239,80676.19298,6001.440346,207.2991853,0.66087726,1000,0.352847373,0.028840842,0.0,interval 7,interval 7,interval 7,interval 7
47.698328,0.035096653,73.9013,30982.64598,80675.93506,6151.513272,209.7403478,2.89524565,1000,0.308184507,0.035096653,0.0,interval 7,interval 7,interval 7,interval 7
48.144107,0.021436209,74.01046,30983.00956,80675.67713,6051.464454,207.0004931,2.619790213,1000,0.35621471,0.021436209,0.0,interval 7,interval 7,interval 7,interval 7
48.589885,0.044471101,74.11962,30983.37314,80675.4192,5851.36922,218.0917524,2.717447867,1000,0.298293978,0.044471101,0.0,interval 7,interval 7,interval 7,interval 7
49.035664,0.007081721,74.22875,30983.73673,80675.16127,6101.488763,210.3049865,0.649107845,1000,0.285013431,0.007081721,0.0,interval 7,interval 7,interval 7,interval 7
49.481443,0.028581726,74.33779,30984.10031,80674.90335,6051.464454,212.8830705,4.58468789,1000,0.366020982,0.028581726,0.0,interval 7,interval 7,interval 7,interval 7
49.927222,0.032361336,74.44694,30984.46389,80674.64542,5401.166652,238.6247565,2.22466202,1000,0.321901864,0.032361336,0.0,interval 7,interval 7,interval 7,interval 7
50.373000000000005,0.014290749,74.55601,30984.82747,80674.38749,6051.464454,206.1247481,2.292311852,1000,0.277768778,0.014290749,0.0,interval 7,interval 7,interval 7,interval 7
50.818779,0.022235284,74.66516,30985.19106,80674.12957,5851.36922,213.5489183,1.01903276,1000,0.274562204,0.022235284,0.0,interval 7,interval 7,interval 7,interval 7
51.264558,0.0,74.77433,30985.55464,80673.87164,5301.123838,241.41031,1.513900582,1000,0.373917826,0.0,0.0,interval 7,interval 7,interval 7,interval 7
51.710337,0.043081112,74.88356,30985.91822,80673.61371,5101.040612,255.5688763,0.789747074,1000,0.366472266,0.043081112,0.0,interval 7,interval 7,interval 7,interval 7
52.156115,0.034464752,74.99272,30986.2818,80673.35579,5101.040612,256.0972602,3.948798549,1000,0.303413563,0.034464752,0.0,interval 7,interval 7,interval 7,interval 7
52.601894,0.0,75.10185,30986.64539,80673.09786,5401.166652,242.664919,1.853881309,1000,0.325602536,0.0,0.0,interval 7,interval 7,interval 7,interval 7
53.047672999999996,0.014962905,75.21093,30987.00897,80672.83993,5801.345912,219.4880563,3.771661849,1000,0.345589632,0.014962905,0.0,interval 7,interval 7,interval 7,interval 7
53.493452,0.008173376,75.3201,30987.37255,80672.58201,5351.145145,237.855926,2.996710199,1000,0.276608102,0.008173376,0.0,interval 7,interval 7,interval 7,interval 7
53.939231,0.007145346,75.42926,30987.73614,80672.32408,6051.464454,208.2517297,1.964834801,1000,0.316990803,0.007145346,0.0,interval 7,interval 7,interval 7,interval 7
54.385009,0.022444447,75.53847,30988.09972,80672.06615,5801.345912,215.5577291,2.400129248,1000,0.325055654,0.022444447,0.0,interval 7,interval 7,interval 7,interval 7
54.830788,0.031403041,75.64761,30988.4633,80671.80823,5551.232374,230.9396491,1.439183923,1000,0.333916327,0.031403041,0.0,interval 7,interval 7,interval 7,interval 7
55.276567,0.025848461,75.75676,30988.82688,80671.5503,5101.040612,254.7386193,1.579500465,1000,0.327060103,0.025848461,0.0,interval 7,interval 7,interval 7,interval 7
55.722346,0.007624873,75.86596,30989.19047,80671.29237,5701.299896,229.0405168,2.446149829,1000,0.338264184,0.007624873,0.0,interval 7,interval 7,interval 7,interval 7
56.168124,0.021057824,75.97504,30989.55405,80671.03445,6151.513272,209.6788436,1.286762977,1000,0.28570872,0.021057824,0.0,interval 7,interval 7,interval 7,interval 7
56.613903,0.050933835,76.08419,30989.91763,80670.77652,5951.416437,217.479577,1.333852226,1000,0.279523028,0.050933835,0.0,interval 7,interval 7,interval 7,interval 7
57.059682,0.045548167,76.19334,30990.28122,80670.51859,4850.941083,269.1667231,0.834972215,1000,0.416627799,0.045548167,0.0,interval 7,interval 7,interval 7,interval 7
