File,Interval,peakID,total_growth,total_growth_centered,total_time_days,growth_rate,growth_rate_centered,start_date,end_date
G652_sub_peakid.csv_peakID_2,interval 1,peakID_2,1633.4603000000006,1633.4603000000006,16.952673611111113,96.35414079637556,96.35414079637556,2022-04-25 00:06:36,2022-05-11 22:58:27
G652_sub_peakid.csv_peakID_2,interval 0,peakID_2,7702.567920000001,7702.567920000001,82.57859953703704,93.27559395755252,93.27559395755252,2022-02-01 10:00:00,2022-04-24 23:53:11
G652_sub_peakid.csv_peakID_2,interval 5,peakID_2,321.6041200000004,321.6041200000004,18.775810185185186,17.128641418294592,17.128641418294592,2022-07-24 06:36:56,2022-08-12 01:14:06
G652_sub_peakid.csv_peakID_3,interval 7,peakID_3,914.713074,914.713074,46.31767361111111,19.748683443819818,19.748683443819818,2022-09-09 02:22:33,2022-10-25 10:00:00
G652_sub_peakid.csv_peakID_3,interval 4,peakID_3,855.8246140000001,855.8246140000001,26.16642361111111,32.70697695334219,32.70697695334219,2022-06-28 01:41:18,2022-07-24 05:40:57
G652_sub_peakid.csv_peakID_3,interval 3,peakID_3,1478.5115810000002,1478.5115810000002,26.895810185185184,54.97181794562179,54.97181794562179,2022-06-01 03:41:21,2022-06-28 01:11:19
G652_sub_peakid.csv_peakID_3,interval 2,peakID_3,411.70157500000005,411.70157500000005,20.14142361111111,20.440540000999874,20.440540000999874,2022-05-11 23:35:51,2022-06-01 02:59:30
G652_sub_peakid.csv_peakID_3,interval 1,peakID_3,697.6981909999995,697.6981909999995,16.940474537037037,41.18528022781291,41.18528022781291,2022-04-25 00:15:24,2022-05-11 22:49:41
G652_sub_peakid.csv_peakID_3,interval 0,peakID_3,14319.251398,14319.251398,82.5807986111111,173.3968626948271,173.3968626948271,2022-02-01 10:00:00,2022-04-24 23:56:21
G652_sub_peakid.csv_peakID_4,interval 7,peakID_4,941.502372,941.502372,46.31831018518518,20.326785848529028,20.326785848529028,2022-09-09 02:21:38,2022-10-25 10:00:00
G652_sub_peakid.csv_peakID_4,interval 4,peakID_4,1478.5115810000002,1478.5115810000002,26.177488425925926,56.48026873104056,56.48026873104056,2022-06-28 01:33:32,2022-07-24 05:49:07
G652_sub_peakid.csv_peakID_4,interval 3,peakID_4,411.70157500000005,411.70157500000005,26.854652777777776,15.330735362949213,15.330735362949213,2022-06-01 04:11:08,2022-06-28 00:41:50
G652_sub_peakid.csv_peakID_4,interval 2,peakID_4,697.6981909999995,697.6981909999995,20.158645833333335,34.61037000046503,34.61037000046503,2022-05-11 23:23:20,2022-06-01 03:11:47
G652_sub_peakid.csv_peakID_4,interval 1,peakID_4,6079.461518,6079.461518,16.959351851851853,358.47251540666406,358.47251540666406,2022-04-25 00:01:46,2022-05-11 23:03:14
G652_sub_peakid.csv_peakID_4,interval 0,peakID_4,7702.567920000001,7702.567920000001,82.57859953703704,93.27559395755252,93.27559395755252,2022-02-01 10:00:00,2022-04-24 23:53:11
G652_sub_peakid.csv_peakID_4,interval 5,peakID_4,855.8246140000001,855.8246140000001,18.807488425925925,45.50446049033612,45.50446049033612,2022-07-24 06:13:31,2022-08-12 01:36:18
G664_sub_peakid.csv_peakID_1,interval 7,peakID_1,140.704578,140.704578,46.19942129629629,3.045591785611392,3.045591785611392,2022-09-09 05:12:50,2022-10-25 10:00:00
G664_sub_peakid.csv_peakID_1,interval 6,peakID_1,1242.2880300000002,1242.2880300000002,27.980625,44.39815157810092,44.39815157810092,2022-08-12 02:03:59,2022-09-09 01:36:05
G664_sub_peakid.csv_peakID_1,interval 4,peakID_1,2236.7587000000003,2236.7587000000003,26.182453703703704,85.42968223347204,85.42968223347204,2022-06-28 01:30:00,2022-07-24 05:52:44
G664_sub_peakid.csv_peakID_1,interval 3,peakID_1,921.4868740000002,921.4868740000002,26.88564814814815,34.27430385618102,34.27430385618102,2022-06-01 03:48:29,2022-06-28 01:03:49
G664_sub_peakid.csv_peakID_1,interval 2,peakID_1,4516.379021000001,4516.379021000001,20.180115740740742,223.80342506569886,223.80342506569886,2022-05-11 23:07:48,2022-06-01 03:27:10
G664_sub_peakid.csv_peakID_1,interval 0,peakID_1,2927.5458199999994,2927.5458199999994,82.57094907407408,35.454913051486294,35.454913051486294,2022-02-01 10:00:00,2022-04-24 23:42:10
G664_sub_peakid.csv_peakID_1,interval 5,peakID_1,402.829845,402.829845,18.78615740740741,21.442908002099653,21.442908002099653,2022-07-24 06:28:58,2022-08-12 01:21:02
G664_sub_peakid.csv_peakID_2,interval 7,peakID_2,1344.415086,1344.415086,46.325497685185184,29.021060823485588,29.021060823485588,2022-09-09 02:11:17,2022-10-25 10:00:00
G664_sub_peakid.csv_peakID_2,interval 6,peakID_2,892.3736940000001,892.3736940000001,27.97303240740741,31.901214033688202,31.901214033688202,2022-08-12 02:09:28,2022-09-09 01:30:38
