time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
2461.60725,9.481215025,14295.43361,35683.38655,509008.0224,17.69655239,1.324657313,0.011862167,2.12051936,0.005877817
2461.71639,9.481648489,14295.81468,35683.17995,446240.138,20.54440487,1.714284872,0.015428677,2.820900124,0.007122011
2461.82554,9.482081953,14296.19574,35682.97336,464160.7216,20.1390296,1.71574194,0.014728068,2.572415195,0.00687022
2461.93469,9.482515418,14296.57681,35682.76676,453997.4994,24.00617252,1.717540783,0.015058216,2.059108575,0.006254046
2462.04369,9.482948882,14296.95787,35682.56017,434035.2716,21.72685921,1.468595225,0.01419248,2.53026255,0.006944901
2462.15284,9.483382346,14297.33894,35682.35358,448245.3944,25.58573728,1.384854864,0.013364524,2.401558322,0.007528942
2462.26198,9.48381581,14297.72,35682.14698,476577.9488,19.40945757,1.748590692,0.013583155,1.976352152,0.006920269
2462.37113,9.484249274,14298.10106,35681.94039,479367.6325,19.761266,1.445236147,0.015419927,2.292091616,0.006036591
2462.48028,9.484682738,14298.48213,35681.73379,449126.1788,23.01928227,1.723842,0.01387639,2.579424638,0.006248988
2462.58946,9.485116202,14298.86319,35681.5272,493664.7618,19.35355755,1.628056593,0.013308244,2.766447665,0.005728764
2462.69861,9.485549666,14299.24426,35681.32061,458455.8734,20.30780163,1.749222279,0.012381221,1.87793401,0.00693199
2462.80775,9.48598313,14299.62532,35681.11401,458096.2939,20.23810803,1.572978713,0.013920856,2.88759338,0.006102611
2462.91689,9.486416594,14300.00639,35680.90742,489828.9466,20.20056581,1.587969144,0.014547413,2.236161124,0.005729075
2463.02602,9.486850058,14300.38745,35680.70082,442404.3228,21.39333371,1.532718113,0.01288569,2.126163155,0.006591049
2463.13522,9.487283522,14300.76851,35680.49423,451819.5055,18.63332669,1.676715338,0.014863423,2.240790914,0.006840463
2463.24437,9.487716986,14301.14958,35680.28764,459907.774,21.36297174,1.546672507,0.015705341,2.17038634,0.006672483
2463.35352,9.48815045,14301.53064,35680.08104,458248.4725,19.5395132,1.770194205,0.014971086,2.141284037,0.007435917
