time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
75.42926,0.053939231,30987.73614,80672.32408,6051.464454,208.2517297,1.964834801,1000,0.316990803,0.007145346,0
75.53847,0.054385009,30988.09972,80672.06615,5801.345912,215.5577291,2.400129248,1000,0.325055654,0.022444447,0
75.64761,0.054830788,30988.4633,80671.80823,5551.232374,230.9396491,1.439183923,1000,0.333916327,0.031403041,0
75.75676,0.055276567,30988.82688,80671.5503,5101.040612,254.7386193,1.579500465,1000,0.327060103,0.025848461,0
75.86596,0.055722346,30989.19047,80671.29237,5701.299896,229.0405168,2.446149829,1000,0.338264184,0.007624873,0
75.97504,0.056168124,30989.55405,80671.03445,6151.513272,209.6788436,1.286762977,1000,0.28570872,0.021057824,0
76.08419,0.056613903,30989.91763,80670.77652,5951.416437,217.479577,1.333852226,1000,0.279523028,0.050933835,0
76.19334,0.057059682,30990.28122,80670.51859,4850.941083,269.1667231,0.834972215,1000,0.416627799,0.045548167,0
76.30252,0.057505461,30990.6448,80670.26066,4350.757032,304.5215222,1.414454415,1000,0.437572395,0.020575504,0
76.41176,0.057951239,30991.00838,80670.00274,5901.392729,215.5635676,2.355807956,1000,0.359363179,0.073435332,0
76.52089,0.058397018,30991.37196,80669.74481,5601.254681,233.9267781,2.137683728,1000,0.344876872,0.023321978,0
76.63004,0.058842797,30991.73555,80669.48688,5151.061119,255.1451385,3.125171657,1000,0.315757306,0.059667668,0
76.73912,0.059288576,30992.09913,80669.22896,5551.232374,236.717474,1.079385783,1000,0.398559644,0.023552186,0
76.84826,0.059734355,30992.46271,80668.97103,5201.081825,244.8313531,1.159501495,1000,0.358700741,0.042167521,0
76.95738,0.060180133,30992.8263,80668.7131,6101.488763,205.9633156,1.947339113,1000,0.291492175,0.014163498,0
77.06643,0.060625912,30993.18988,80668.45518,6401.63882,200.522322,1.54047605,1000,0.264408155,0.013445161,0
77.17557,0.061071691,30993.55346,80668.19725,5051.020306,256.9942844,1.596798288,1000,0.410331046,0.008710443,0
77.28472,0.06151747,30993.91704,80667.93932,5801.345912,226.5018883,1.714371176,1000,0.246346635,0.007481422,0
77.39388,0.061963248,30994.28063,80667.6814,5801.345912,222.6992424,2.057249526,1000,0.362701658,0.022444447,0
77.50302,0.062409027,30994.64421,80667.42347,5251.102732,251.5463412,1.912234382,1000,0.393110424,0.01668984,0
77.61216,0.062854806,30995.00779,80667.16554,5601.254681,233.5861317,1.781399544,1000,0.312872354,0,0
77.72131,0.063300585,30995.37138,80666.90762,5851.36922,218.4163393,1.01903276,1000,0.288123136,0.022235284,0
77.83033,0.063746363,30995.73496,80666.64969,5451.188359,247.6639446,1.101123745,1000,0.347968141,0.016017608,0
77.93947,0.064192142,30996.09854,80666.39176,5701.299896,229.1073381,1.747242889,1000,0.31036114,0.007624873,0
78.04863,0.064637921,30996.46212,80666.13384,5901.392729,220.6458834,3.36546013,1000,0.308975892,0.022029983,0
78.15777,0.0650837,30996.82571,80665.87591,5151.061119,252.1579776,2.343869367,1000,0.33525185,0.017047564,0
78.2669,0.065529478,30997.18929,80665.61798,5651.277189,228.0872085,2.116991356,1000,0.302800693,0.023096226,0
78.37609,0.065975257,30997.55287,80665.36005,5651.277189,232.0672482,2.116991356,1000,0.271107368,0.023096226,0
78.48524,0.066421036,30997.91645,80665.10213,5851.36922,223.8713671,2.038077748,1000,0.254221211,0.007411702,0
78.59438,0.066866815,30998.28004,80664.8442,4850.941083,271.0819972,2.922431976,1000,0.420794919,0.027328682,0
78.70352,0.067312594,30998.64362,80664.58627,6251.562891,207.9760693,1.58055724,1000,0.318614897,0.041385621,0
78.81272,0.067758372,30999.0072,80664.32835,6251.562891,206.5857856,0.948330551,1000,0.249202665,0.006897466,0
78.92188,0.068204151,30999.37079,80664.07042,5351.145145,242.2225176,1.498343113,1000,0.332687294,0.024520324,0
79.03102,0.06864993,30999.73437,80663.81249,5651.277189,230.3130976,2.116991356,1000,0.387321807,0.023096226,0
79.14017,0.069095709,31000.09795,80663.55457,6401.63882,199.3443765,1.848574957,1000,0.301309549,0.020167822,0
79.24931,0.069541487,31000.46153,80663.29664,5701.299896,228.3723333,2.09669566,1000,0.331288339,0.007624873,0
79.3585,0.069987266,31000.82512,80663.03871,5551.232374,228.7396082,3.957811198,1000,0.341098688,0.047104938,0
79.46764,0.070433045,31001.1887,80662.78079,5701.299896,230.1097231,2.09669566,1000,0.359192053,0.007624873,0
79.57679,0.070878824,31001.55228,80662.52286,5751.322804,221.0432018,0.692256242,1000,0.300504556,0.022657581,0
79.68595,0.071324602,31001.91587,80662.26493,6451.664529,198.6662852,2.13859746,1000,0.231699781,0.019998772,0
79.79507,0.071770381,31002.27945,80662.00701,6351.61331,203.5982114,2.485788841,1000,0.275966079,0.033899861,0
79.90427,0.07221616,31002.64303,80661.74908,6001.440346,213.0444145,1.982647643,1000,0.329759283,0.036051197,0
80.01342,0.072661939,31003.00661,80661.49115,4950.980294,262.9832392,1.224414389,1000,0.407298225,0.008905498,0
80.12257,0.073107717,31003.3702,80661.23323,5251.102732,251.8388982,3.059593368,1000,0.412197577,0.008344887,0
80.23172,0.073553496,31003.73378,80660.9753,5201.081825,256.7269502,1.932510223,1000,0.343270005,0.033733882,0.002472444
80.34071,0.073999275,31004.09736,80660.71737,5201.081825,0.071865756,1.159501495,1000,0.377989507,0.042167521,0
80.44993,0.074445054,31004.46095,80660.45944,5801.345912,224.0102975,2.743010341,1000,0.311366609,0.022444447,0
80.55907,0.074890833,31004.82453,80660.20152,4900.960588,269.5907271,2.063806333,1000,0.345993495,0.018012749,0
80.66822,0.075336611,31005.18811,80659.94359,4600.846556,293.8995565,3.542804832,1000,0.424254057,0.01932572,0.005665785
80.77732,0.07578239,31005.55169,80659.68566,5701.299896,226.5685086,2.446149829,1000,0.348728055,0.030499857,0
80.88648,0.076228169,31005.91528,80659.42774,5651.277189,228.8291054,3.881189632,1000,0.299279156,0.046193006,0.004514113
