specimen,start_date,end_date,start_distance_mm,end_distance_mm,true_spike_count,peakID,identified_spike_count
G717,2022-03-01,2022-04-24,0.9845805078704881,5.079052445754366,0,peakID_4,4
G717,2022-04-24,2022-10-11,5.079052445754366,16.73556346508884,7,peakID_1,3
G717,2022-04-24,2022-10-11,5.079052445754366,16.73556346508884,7,peakID_2,4
G717,2022-04-24,2022-10-11,5.079052445754366,16.73556346508884,7,peakID_3,3
G717,2022-04-24,2022-10-11,5.079052445754366,16.73556346508884,7,peakID_4,3
G652,2022-01-19,2022-03-01,0.08340486603958946,0.49481113731021265,1,peakID_1,0
G652,2022-01-19,2022-03-01,0.08340486603958946,0.49481113731021265,1,peakID_2,0
G652,2022-01-19,2022-03-01,0.08340486603958946,0.49481113731021265,1,peakID_3,0
G652,2022-01-19,2022-03-01,0.08340486603958946,0.49481113731021265,1,peakID_4,0
G652,2022-03-01,2022-04-24,0.49481113731021265,4.86355392270784,0,peakID_1,3
G652,2022-03-01,2022-04-24,0.49481113731021265,4.86355392270784,0,peakID_2,3
G652,2022-03-01,2022-04-24,0.49481113731021265,4.86355392270784,0,peakID_3,4
G652,2022-03-01,2022-04-24,0.49481113731021265,4.86355392270784,0,peakID_4,3
G652,2022-04-24,2022-10-11,4.86355392270784,14.247535062642658,7,peakID_1,3
G652,2022-04-24,2022-10-11,4.86355392270784,14.247535062642658,7,peakID_2,4
G652,2022-04-24,2022-10-11,4.86355392270784,14.247535062642658,7,peakID_3,3
G652,2022-04-24,2022-10-11,4.86355392270784,14.247535062642658,7,peakID_4,4
G719,2022-01-19,2022-03-01,1.5331222028979916,2.9044764404667553,1,peakID_1,2
G719,2022-01-19,2022-03-01,1.5331222028979916,2.9044764404667553,1,peakID_2,2
G719,2022-01-19,2022-03-01,1.5331222028979916,2.9044764404667553,1,peakID_3,1
G719,2022-01-19,2022-03-01,1.5331222028979916,2.9044764404667553,1,peakID_4,2
G719,2022-03-01,2022-04-24,2.9044764404667553,7.351582325154024,0,peakID_1,2
G719,2022-03-01,2022-04-24,2.9044764404667553,7.351582325154024,0,peakID_2,2
G719,2022-03-01,2022-04-24,2.9044764404667553,7.351582325154024,0,peakID_3,3
G719,2022-03-01,2022-04-24,2.9044764404667553,7.351582325154024,0,peakID_4,3
G719,2022-04-24,2022-10-11,7.351582325154024,21.123897025308874,7,peakID_1,2
G719,2022-04-24,2022-10-11,7.351582325154024,21.123897025308874,7,peakID_2,2
G719,2022-04-24,2022-10-11,7.351582325154024,21.123897025308874,7,peakID_3,2
G719,2022-04-24,2022-10-11,7.351582325154024,21.123897025308874,7,peakID_4,2
G691,2022-01-19,2022-03-01,0.6907188855343243,0.8866266337584323,1,peakID_1,1
G691,2022-01-19,2022-03-01,0.6907188855343243,0.8866266337584323,1,peakID_2,0
G691,2022-01-19,2022-03-01,0.6907188855343243,0.8866266337584323,1,peakID_3,0
G691,2022-01-19,2022-03-01,0.6907188855343243,0.8866266337584323,1,peakID_4,1
G691,2022-03-01,2022-04-24,0.8866266337584323,4.667646174483735,0,peakID_1,2
G691,2022-03-01,2022-04-24,0.8866266337584323,4.667646174483735,0,peakID_2,3
G691,2022-03-01,2022-04-24,0.8866266337584323,4.667646174483735,0,peakID_3,2
G691,2022-03-01,2022-04-24,0.8866266337584323,4.667646174483735,0,peakID_4,3
G691,2022-04-24,2022-10-11,4.667646174483735,20.908398502262354,7,peakID_1,4
G691,2022-04-24,2022-10-11,4.667646174483735,20.908398502262354,7,peakID_2,3
G691,2022-04-24,2022-10-11,4.667646174483735,20.908398502262354,7,peakID_3,3
G691,2022-04-24,2022-10-11,4.667646174483735,20.908398502262354,7,peakID_4,2
G668,2022-01-19,2022-03-01,0.39685726319816383,0.847445084113615,1,peakID_1,1
G668,2022-01-19,2022-03-01,0.39685726319816383,0.847445084113615,1,peakID_2,1
