response,predictor,peakID,r2,p,n,slope,slope_std_err,intercept,intercept_std_err
SrCa_mean,growth_mean,3,0.1433957457868713,7.563867645501348e-06,132,0.00337317458954496,0.0007230846194794494,1.8013491387195273,0.0501734004563815
SrCa_mean,growth_mean,4,0.08317233613115471,0.0007616377932770487,133,0.0017869025523785127,0.0005183458499933585,1.9296608077745956,0.043531978504454415
BaCa_mean,T_mean,1,0.010543941101999632,0.23073838224999768,138,-0.0004233019051913109,0.00035162321412722427,0.011691638989448947,0.004552926668484899
BaCa_mean,T_mean,2,0.01065185620171416,0.23534752281524177,134,-0.00023925021741310465,0.00020069072399826198,0.008743371214911349,0.002668734542309508
BaCa_mean,T_mean,3,0.0016746649824732618,0.6412948904821913,132,-0.00019933371070681165,0.00042685576569855856,0.009774719637156305,0.005096696976909861
BaCa_mean,T_mean,4,0.01403874216967338,0.17435912885089117,133,-0.0006108646833279374,0.0004472755884080986,0.014545115923891096,0.0056613003913405634
BaCa_mean,S_mean,1,0.0020669416316386746,0.5964637051419373,138,-0.0004119750349980532,0.0007762257463097349,0.01833081522123118,0.02219288275526212
BaCa_mean,S_mean,2,0.002593431823487591,0.5589750142999232,134,-0.00029271770753781204,0.0004996440542911284,0.01419304185191655,0.014383495878948676
BaCa_mean,S_mean,3,0.001287942731835856,0.6828840394487395,132,-0.0003935822995142985,0.0009612486720590519,0.018684271152964282,0.02716327559191299
BaCa_mean,S_mean,4,0.0012259396203800899,0.6890787275916671,133,-0.0004182337965312426,0.0010429958087529623,0.01928919388077069,0.029802422868850646
BaCa_mean,Chl_mean,1,0.026319455164584227,0.057291304577565774,138,-0.0005371502169359269,0.0002801535306848803,0.010913234937528764,0.0027907728748846187
BaCa_mean,Chl_mean,2,0.03147862050058403,0.040279699809725386,134,-0.0003089772593812203,0.00014917165604360618,0.008328926402167964,0.001567169626098309
BaCa_mean,Chl_mean,3,0.019466011470773426,0.11059193668423786,132,-0.00043888590727114284,0.0002731950324973728,0.011362779353438452,0.0030974014519109714
BaCa_mean,Chl_mean,4,0.02317551152097863,0.08023936105442306,133,-0.0005301004352719324,0.00030068801498323857,0.011964701047439946,0.0033460571007307986
BaCa_mean,growth_mean,1,0.009339260498685387,0.2594988747079492,138,-3.055541325192638e-05,2.6985156366529513e-05,0.008449647407355206,0.0023347835794349015
BaCa_mean,growth_mean,2,0.005624495172882993,0.38911185362924916,134,-1.2519364735666027e-05,1.4488678016957265e-05,0.006552778330226832,0.0013271217185997517
BaCa_mean,growth_mean,3,0.018116122097098675,0.12387894618900969,132,-7.016653882144133e-05,4.5306010684319846e-05,0.011319574974425883,0.003143693775124038
BaCa_mean,growth_mean,4,0.012641458628717905,0.1975701974218329,133,-4.601997077351703e-05,3.553444531467243e-05,0.010103361411912572,0.0029842714273218378
