NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.												
Intervals of 60 minutes 													
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC													
ET = excel decimal time 													
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)													
T_std = standard deviation of temperature within the interval 													
T_N = number of data points for temperature within the interval 													
T_max = maximum temperature within the interval 													
T_min = minimum temperature within the interval 													
T_flag = quality flag 													
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)													
S_std = standard deviation of salinity within the interval 													
S_N = number of data points for salinity within the interval 													
S_max = maximum salinity within the interval 													
S_min = minimum salinity within the interval 													
S_flag = quality flag 													
Quality flags:  -1=No flag available, 0=uncalibrated data, 1=OK, 1-2 : includes corrected data, 4-5 : includes missing data, fraction indicates how much missing or corrected data was incorporated (low end: none, high end: all), 9=missing 
Temperature in [degrees Celsius], Salinity in [PSU]												
													
TM 	ET 	T 	T_std 	T_N 	T_max 	T_min 	T_flag 	S 	S_std 	S_N 	S_max 	S_min 	S_flag 
202201091300	44570.54167	6.683	0.008	6	6.687	6.669	1	30.41	0.019	6	30.45	30.4	1
202201091400	44570.58333	6.692	0.002	6	6.695	6.69	1	30.435	0.018	6	30.46	30.41	1
202201091500	44570.625	6.673	0.022	6	6.686	6.624	1	30.4	0.058	6	30.43	30.27	1
202201091600	44570.66667	6.434	0.105	6	6.592	6.311	1	29.724	0.288	6	30.189	29.409	1
202201091700	44570.70833	6.229	0.056	6	6.301	6.173	1	29.179	0.149	6	29.369	29.039	1
202201091800	44570.75	6.159	0.052	6	6.229	6.093	1	29.084	0.141	6	29.249	28.899	1
202201091900	44570.79167	6.012	0.067	6	6.081	5.9	1	28.129	0.251	6	28.409	27.739	1
202201092000	44570.83333	5.986	0.04	6	6.028	5.941	1	28.019	0.116	6	28.139	27.869	1
202201092100	44570.875	6.109	0.07	6	6.213	6.024	1	28.518	0.264	6	28.888	28.178	1
202201092200	44570.91667	6.225	0.091	6	6.447	6.21	1	28.983	0.346	6	29.828	28.948	1
202201092300	44570.95833	6.608	0.06	6	6.722	6.544	1	30.273	0.176	6	30.568	30.048	1
202201100000	44571	6.726	0.004	6	6.729	6.719	1	30.583	0.014	6	30.598	30.568	1
202201100100	44571.04167	6.714	0.019	6	6.729	6.687	1	30.553	0.05	6	30.608	30.478	1
202201100200	44571.08333	6.69	0.009	6	6.695	6.675	1	30.492	0.02	6	30.517	30.457	1
202201100300	44571.125	6.558	0.066	6	6.675	6.484	1	30.082	0.205	6	30.457	29.857	1
202201100400	44571.16667	6.226	0.1	6	6.441	6.165	1	29.092	0.3	6	29.737	28.877	1
202201100500	44571.20833	5.976	0.087	6	6.091	5.857	1	28.827	0.138	6	28.887	28.577	1
202201100600	44571.25	5.919	0.052	6	5.936	5.798	1	28.667	0.074	6	28.727	28.517	1
202201100700	44571.29167	5.741	0.029	6	5.78	5.714	1	27.891	0.255	6	28.506	27.846	1
202201100800	44571.33333	5.715	0.076	6	5.805	5.595	1	27.841	0.315	6	28.206	27.296	1
202201100900	44571.375	5.662	0.048	6	5.73	5.613	1	27.496	0.137	6	27.756	27.396	1
202201101000	44571.41667	5.768	0.018	6	5.779	5.736	1	27.786	0.029	6	27.826	27.736	1
202201101100	44571.45833	5.812	0.081	6	5.976	5.778	1	27.846	0.181	6	28.226	27.786	1
