time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
1724.7962,6.614424793,64895.32915,37598.57272,458445.0044,24.36597762,1.456297175,0.026583341,2.180390199,0.004925534
1724.90535,6.614859422,64895.69301,37598.33501,458096.2939,22.70875818,1.287268309,0.024012526,1.827689574,0.004616579
1725.01451,6.615294051,64896.05687,37598.09729,338139.8925,31.23048902,1.87113653,0.038167874,3.134453887,0.006290228
1725.12364,6.61572868,64896.42073,37597.85958,438568.5077,26.50198161,1.12890381,0.028196033,3.061250108,0.005189995
1725.23284,6.61616331,64896.78459,37597.62186,339960.9156,33.70963769,1.735485409,0.035866782,3.168285705,0.006418616
1725.34199,6.616597939,64897.14845,37597.38415,403000.0398,20.03741468,1.647781393,0.028479256,2.830997646,0.004729209
1725.45114,6.617032568,64897.51231,37597.14644,380607.5914,25.73266722,1.525430987,0.030313759,2.99519169,0.004544634
1725.56029,6.617467198,64897.87617,37596.90872,394838.9561,30.44793073,1.686600137,0.025686499,2.169741485,0.005189995
1725.66927,6.617901827,64898.24003,37596.67101,423225.247,25.13327108,1.78382425,0.025853949,1.909934789,0.004685107
1725.77842,6.618336456,64898.60389,37596.43329,370047.513,30.58602875,1.579074525,0.033426638,2.749644142,0.006551169
1725.88764,6.618771086,64898.96776,37596.19558,433686.5611,20.39700176,1.449696237,0.024134599,1.650550389,0.004876828
1725.99678,6.619205715,64899.33162,37595.95787,432989.1401,25.05218147,1.464893611,0.025201495,1.954102993,0.005520999
1726.10591,6.619640344,64899.69548,37595.72015,422527.8261,25.41933877,1.457296594,0.025896692,2.131974059,0.005370988
1726.21506,6.620074974,64900.05934,37595.48244,393584.8571,25.54163844,1.800466462,0.033309799,2.395376345,0.004506528
1726.32421,6.620509603,64900.4232,37595.24472,459142.4253,20.88350471,1.235835993,0.023117642,2.179278479,0.005806117
1726.43336,6.620944232,64900.78706,37595.00701,547366.174,17.36906373,0.829694641,0.02036244,1.75731709,0.003319352
1726.54257,6.621378862,64901.15092,37594.76929,335350.2088,35.19537131,2.030695756,0.033793339,2.645035569,0.006967333
1726.65169,6.621813491,64901.51478,37594.53158,466465.3452,20.15135957,1.212429025,0.022881405,1.818001907,0.003966736
1726.76091,6.62224812,64901.87864,37594.29387,344533.5896,29.37340586,2.121983552,0.035131285,2.956607177,0.005917285
1726.87006,6.62268275,64902.2425,37594.05615,456701.452,19.11922188,1.827660678,0.020707886,1.743125064,0.003979293
1726.97914,6.623117379,64902.60636,37593.81844,378590.3069,31.56975321,1.754213536,0.036905787,3.294745171,0.006315725
1727.08834,6.623552008,64902.97022,37593.58072,480762.4744,20.99204128,1.512126647,0.024730347,2.105704815,0.004719481
1727.19754,6.623986637,64903.33408,37593.34301,365339.3091,25.59544472,1.421644673,0.037759193,2.859998884,0.004282408
1727.30668,6.624421267,64903.69795,37593.1053,400907.777,24.10404947,1.725849304,0.025519062,2.154522674,0.004589001
1727.41583,6.624855896,64904.06181,37592.86758,369523.8347,30.48140217,1.430629003,0.033795461,2.402712793,0.006351639
1727.52498,6.625290525,64904.42567,37592.62987,366734.151,32.61989172,2.023668151,0.03186737,2.393405837,0.005858985
1727.6341,6.625725155,64904.78953,37592.39215,459491.1358,27.47549419,1.24701104,0.024391556,2.048353445,0.004290802
1727.74332,6.626159784,64905.15339,37592.15444,416599.7481,29.62808829,1.616179882,0.029044122,2.761926632,0.00563273
