file,specimen,treatment,peakID,peak_interval,depth
G652_sub_peakid.csv,G652,subtidal,peakID_1,interval 7,0.4268249999999999
G652_sub_peakid.csv,G652,subtidal,peakID_1,peak 7,915.586387
G652_sub_peakid.csv,G652,subtidal,peakID_1,interval 6,1015.599766
G652_sub_peakid.csv,G652,subtidal,peakID_1,peak 6,1171.424183
G652_sub_peakid.csv,G652,subtidal,peakID_1,interval 5,2171.133587
G652_sub_peakid.csv,G652,subtidal,peakID_1,peak 5,3027.3851600000003
G652_sub_peakid.csv,G652,subtidal,peakID_1,interval 4,3539.309164
G652_sub_peakid.csv,G652,subtidal,peakID_1,peak 4,5530.415105
G652_sub_peakid.csv,G652,subtidal,peakID_1,interval 3,6530.062503
G652_sub_peakid.csv,G652,subtidal,peakID_1,peak 3,7228.201183
G652_sub_peakid.csv,G652,subtidal,peakID_1,interval 2,7457.696162
G652_sub_peakid.csv,G652,subtidal,peakID_1,peak 2,11681.89692
G652_sub_peakid.csv,G652,subtidal,peakID_1,interval 1,11903.69738
G652_sub_peakid.csv,G652,subtidal,peakID_1,peak 1,14601.44032
G652_sub_peakid.csv,G652,subtidal,peakID_1,interval 0,15593.755120000002
G652_sub_peakid.csv,G652,subtidal,peakID_2,interval 7,0.4268249999999999
G652_sub_peakid.csv,G652,subtidal,peakID_2,peak 7,1466.552948
G652_sub_peakid.csv,G652,subtidal,peakID_2,interval 6,1566.566327
G652_sub_peakid.csv,G652,subtidal,peakID_2,peak 6,3027.3851600000003
G652_sub_peakid.csv,G652,subtidal,peakID_2,interval 5,3539.309164
G652_sub_peakid.csv,G652,subtidal,peakID_2,peak 5,3861.352506
G652_sub_peakid.csv,G652,subtidal,peakID_2,interval 4,4598.681257
G652_sub_peakid.csv,G652,subtidal,peakID_2,peak 4,5530.415105
G652_sub_peakid.csv,G652,subtidal,peakID_2,interval 3,6530.062503
G652_sub_peakid.csv,G652,subtidal,peakID_2,peak 3,7228.201183
G652_sub_peakid.csv,G652,subtidal,peakID_2,interval 2,7457.696162
G652_sub_peakid.csv,G652,subtidal,peakID_2,peak 2,11681.89692
G652_sub_peakid.csv,G652,subtidal,peakID_2,interval 1,11903.69738
G652_sub_peakid.csv,G652,subtidal,peakID_2,peak 1,13537.59948
G652_sub_peakid.csv,G652,subtidal,peakID_2,interval 0,14074.37964
G652_sub_peakid.csv,G652,subtidal,peakID_3,interval 7,0.4268249999999999
G652_sub_peakid.csv,G652,subtidal,peakID_3,peak 7,915.586387
G652_sub_peakid.csv,G652,subtidal,peakID_3,peak 6,1015.599766
G652_sub_peakid.csv,G652,subtidal,peakID_3,peak 5,1934.830831
G652_sub_peakid.csv,G652,subtidal,peakID_3,interval 4,2171.133587
G652_sub_peakid.csv,G652,subtidal,peakID_3,peak 4,3027.3851600000003
G652_sub_peakid.csv,G652,subtidal,peakID_3,interval 3,3539.309164
G652_sub_peakid.csv,G652,subtidal,peakID_3,peak 3,5018.253741
G652_sub_peakid.csv,G652,subtidal,peakID_3,interval 2,5118.275664
G652_sub_peakid.csv,G652,subtidal,peakID_3,peak 2,5530.415105
G652_sub_peakid.csv,G652,subtidal,peakID_3,interval 1,6530.062503
G652_sub_peakid.csv,G652,subtidal,peakID_3,peak 1,7228.201183
G652_sub_peakid.csv,G652,subtidal,peakID_3,interval 0,7457.696162
G652_sub_peakid.csv,G652,subtidal,peakID_4,interval 7,0.4268249999999999
G652_sub_peakid.csv,G652,subtidal,peakID_4,peak 7,942.375685
G652_sub_peakid.csv,G652,subtidal,peakID_4,peak 6,1934.830831
G652_sub_peakid.csv,G652,subtidal,peakID_4,interval 5,2171.133587
G652_sub_peakid.csv,G652,subtidal,peakID_4,peak 5,3027.3851600000003
G652_sub_peakid.csv,G652,subtidal,peakID_4,interval 4,3539.309164
G652_sub_peakid.csv,G652,subtidal,peakID_4,peak 4,5018.253741
G652_sub_peakid.csv,G652,subtidal,peakID_4,interval 3,5118.275664
G652_sub_peakid.csv,G652,subtidal,peakID_4,peak 3,5530.415105
G652_sub_peakid.csv,G652,subtidal,peakID_4,interval 2,6530.062503
G652_sub_peakid.csv,G652,subtidal,peakID_4,peak 2,7228.201183
G652_sub_peakid.csv,G652,subtidal,peakID_4,interval 1,7457.696162
G652_sub_peakid.csv,G652,subtidal,peakID_4,peak 1,13537.59948
G652_sub_peakid.csv,G652,subtidal,peakID_4,interval 0,14074.37964
G664_sub_peakid.csv,G664,subtidal,peakID_1,interval 7,0.0
G664_sub_peakid.csv,G664,subtidal,peakID_1,peak 7,141.133556
G664_sub_peakid.csv,G664,subtidal,peakID_1,interval 6,631.88367
G664_sub_peakid.csv,G664,subtidal,peakID_1,peak 6,1874.602996
G664_sub_peakid.csv,G664,subtidal,peakID_1,interval 5,1974.663514
G664_sub_peakid.csv,G664,subtidal,peakID_1,peak 5,2377.924654
G664_sub_peakid.csv,G664,subtidal,peakID_1,interval 4,2532.328385
G664_sub_peakid.csv,G664,subtidal,peakID_1,peak 4,4769.531975
G664_sub_peakid.csv,G664,subtidal,peakID_1,interval 3,5054.26177
G664_sub_peakid.csv,G664,subtidal,peakID_1,peak 3,5976.18875
G664_sub_peakid.csv,G664,subtidal,peakID_1,interval 2,6076.092799
G664_sub_peakid.csv,G664,subtidal,peakID_1,peak 2,10592.90753
G664_sub_peakid.csv,G664,subtidal,peakID_1,peak 1,10692.68409
G664_sub_peakid.csv,G664,subtidal,peakID_1,interval 0,11596.17236
G664_sub_peakid.csv,G664,subtidal,peakID_2,interval 7,0.0
G664_sub_peakid.csv,G664,subtidal,peakID_2,peak 7,1344.844064
G664_sub_peakid.csv,G664,subtidal,peakID_2,interval 6,1485.119665
G664_sub_peakid.csv,G664,subtidal,peakID_2,peak 6,2377.924654
G664_sub_peakid.csv,G664,subtidal,peakID_2,interval 5,2532.328385
G664_sub_peakid.csv,G664,subtidal,peakID_2,peak 5,4769.531975
G664_sub_peakid.csv,G664,subtidal,peakID_2,interval 4,5054.26177
